OrderID,CustomerID,OrderAmount,OrderDate
O000001,C0001,67.26,2024-01-01
O000002,C0002,84.69,2024-01-02
O000003,C0003,101.68,2024-01-03
O000004,C0004,118.85,2024-01-04
O000005,C0005,135.19,2024-01-05
O000006,C0006,152.23,2024-01-06
O000007,C0007,169.15,2024-01-07
O000008,C0008,186.23,2024-01-08
O000009,C0009,203.73,2024-01-09
O000010,C0010,220.13,2024-01-10
O000011,C0011,237.53,2024-01-11
O000012,C0012,254.21,2024-01-12
O000013,C0013,271.29,2024-01-13
O000014,C0014,288.43,2024-01-14
O000015,C0015,305.84,2024-01-15
O000016,C0016,322.61,2024-01-16
O000017,C0017,339.01,2024-01-17
O000018,C0018,356.28,2024-01-18
O000019,C0019,373.15,2024-01-19
O000020,C0020,390.87,2024-01-20
O000021,C0021,407.81,2024-01-21
O000022,C0022,424.81,2024-01-22
O000023,C0023,441.83,2024-01-23
O000024,C0024,458.74,2024-01-24
O000025,C0025,475.95,2024-01-25
O000026,C0026,492.79,2024-01-26
O000027,C0027,509.26,2024-01-27
O000028,C0028,526.85,2024-01-28
O000029,C0029,543.49,2024-01-29
O000030,C0030,560.76,2024-01-30
O000031,C0031,577.56,2024-01-31
O000032,C0032,594.43,2024-02-01
O000033,C0033,611.36,2024-02-02
O000034,C0034,628.43,2024-02-03
O000035,C0035,645.31,2024-02-04
O000036,C0036,662.12,2024-02-05
O000037,C0037,679.82,2024-02-06
O000038,C0038,696.8,2024-02-07
O000039,C0039,713.99,2024-02-08
O000040,C0040,730.69,2024-02-09
O000041,C0041,747.55,2024-02-10
O000042,C0042,764.75,2024-02-11
O000043,C0043,781.13,2024-02-12
O000044,C0044,798.68,2024-02-13
O000045,C0045,815.44,2024-02-14
O000046,C0046,832.18,2024-02-15
O000047,C0047,849.2,2024-02-16
O000048,C0048,866.52,2024-02-17
O000049,C0049,883.25,2024-02-18
O000050,C0050,900.46,2024-02-19
O000051,C0051,917.61,2024-02-20
O000052,C0052,934.4,2024-02-21
O000053,C0053,951.13,2024-02-22
O000054,C0054,968.49,2024-02-23
O000055,C0055,985.24,2024-02-24
O000056,C0056,1002.24,2024-02-25
O000057,C0057,1019.19,2024-02-26
O000058,C0058,1036.37,2024-02-27
O000059,C0059,1053.07,2024-02-28
O000060,C0060,1070.65,2024-02-29
O000061,C0061,1087.95,2024-03-01
O000062,C0062,1104.39,2024-03-02
O000063,C0063,1121.72,2024-03-03
O000064,C0064,1138.93,2024-03-04
O000065,C0065,1155.04,2024-03-05
O000066,C0066,1172.14,2024-03-06
O000067,C0067,1189.81,2024-03-07
O000068,C0068,1206.84,2024-03-08
O000069,C0069,1223.64,2024-03-09
O000070,C0070,1240.16,2024-03-10
O000071,C0071,1257.41,2024-03-11
O000072,C0072,1274.87,2024-03-12
O000073,C0073,1291.89,2024-03-13
O000074,C0074,1308.8,2024-03-14
O000075,C0075,1325.2,2024-03-15
O000076,C0076,1342.85,2024-03-16
O000077,C0077,1359.37,2024-03-17
O000078,C0078,1376.72,2024-03-18
O000079,C0079,1393.14,2024-03-19
O000080,C0080,1410.97,2024-03-20
O000081,C0081,1427.6,2024-03-21
O000082,C0082,1444.72,2024-03-22
O000083,C0083,1461.21,2024-03-23
O000084,C0084,1478.62,2024-03-24
O000085,C0085,1495.58,2024-03-25
O000086,C0086,1512.59,2024-03-26
O000087,C0087,1529.36,2024-03-27
O000088,C0088,1546.73,2024-03-28
O000089,C0089,1563.34,2024-03-29
O000090,C0090,1580.3,2024-03-30
O000091,C0091,1597.16,2024-03-31
O000092,C0092,1614.68,2024-04-01
O000093,C0093,1631.11,2024-04-02
O000094,C0094,1648.23,2024-04-03
O000095,C0095,1665.07,2024-04-04
O000096,C0096,1682.64,2024-04-05
O000097,C0097,1699.56,2024-04-06
O000098,C0098,1716.54,2024-04-07
O000099,C0099,1733.04,2024-04-08
O000100,C0100,1750.44,2024-04-09
O000101,C0101,1767.34,2024-04-10
O000102,C0102,1784.09,2024-04-11
O000103,C0103,1801.0,2024-04-12
O000104,C0104,1819.0,2024-04-13
O000105,C0105,1835.12,2024-04-14
O000106,C0106,1852.3,2024-04-15
O000107,C0107,1869.27,2024-04-16
O000108,C0108,1886.6,2024-04-17
O000109,C0109,1903.08,2024-04-18
O000110,C0110,1920.47,2024-04-19
O000111,C0111,1937.37,2024-04-20
O000112,C0112,1954.83,2024-04-21
O000113,C0113,1971.01,2024-04-22
O000114,C0114,1988.33,2024-04-23
O000115,C0115,2005.5,2024-04-24
O000116,C0116,2022.97,2024-04-25
O000117,C0117,2039.52,2024-04-26
O000118,C0118,2056.47,2024-04-27
O000119,C0119,2073.67,2024-04-28
O000120,C0120,2090.3,2024-04-29
O000121,C0121,2107.03,2024-04-30
O000122,C0122,2124.5,2024-05-01
O000123,C0123,2141.91,2024-05-02
O000124,C0124,2158.74,2024-05-03
